protocol,faults,delay_ms,rate,run,tps,latency_ms
wahoo,3,100,270000,1,95820.04548254647,5080.40883562838
wahoo,3,100,270000,2,90440.94194633169,3546.698953777527
wahoo,3,100,270000,3,60911.19266750492,3116.5159585104648
wahoo,3,100,270000,mean,82390.7,3914.5
noveldag,0,100,60000,1,55643.075348,2576.720699
noveldag,0,100,60000,2,57306.340602,2831.283089
noveldag,0,100,60000,3,58350.809672,2719.086482
noveldag,0,100,60000,mean,57100.1,2709.0
noveldag,0,100,130000,1,127158.074004,2797.072801
noveldag,0,100,130000,2,127401.312922,2757.497948
noveldag,0,100,130000,3,127464.402360,2755.329286
noveldag,0,100,130000,mean,127341.3,2770.0
noveldag,0,100,270000,1,136651.581670,2714.207191
noveldag,0,100,270000,2,142993.402964,2709.487114
noveldag,0,100,270000,3,140335.860652,2707.942044
noveldag,0,100,270000,mean,139993.6,2710.5
noveldag,1,100,60000,1,56977.621048,3467.172215
noveldag,1,100,60000,2,57410.043051,2847.096906
noveldag,1,100,60000,3,58605.979202,2789.599225
noveldag,1,100,60000,mean,57664.5,3034.6
noveldag,1,100,130000,1,125485.422657,2747.101738
noveldag,1,100,130000,2,127301.108590,2951.575330
noveldag,1,100,130000,3,125591.349786,3496.632169
noveldag,1,100,130000,mean,126126.0,3065.1
noveldag,1,100,200000,1,131759.474965,3621.872848
noveldag,1,100,200000,2,134417.470032,2742.055413
noveldag,1,100,200000,3,136707.187771,3520.760639
noveldag,1,100,200000,mean,134294.7,3294.9
noveldag,1,100,270000,1,134688.338222,2762.220500
noveldag,1,100,270000,2,135549.160180,2737.983163
noveldag,1,100,270000,3,132916.446167,2713.273342
noveldag,1,100,270000,mean,134384.6,2737.8
noveldag,3,100,60000,1,57516.436180,3432.589442
noveldag,3,100,60000,2,56929.755894,2791.144926
noveldag,3,100,60000,3,57580.791789,3445.919617
noveldag,3,100,60000,mean,57342.3,3223.2
noveldag,3,100,130000,1,104985.090101,5164.852173
noveldag,3,100,130000,2,113133.019556,3486.423600
noveldag,3,100,130000,3,95772.145149,2832.524094
noveldag,3,100,130000,mean,104630.1,3827.9
noveldag,3,100,200000,1,102371.144906,2824.358360
noveldag,3,100,200000,2,106204.884030,3551.628501
noveldag,3,100,200000,3,105719.031125,4756.895787
noveldag,3,100,200000,mean,104765.0,3711.0
noveldag,3,100,270000,1,108011.296220,5152.817112
noveldag,3,100,270000,2,107863.498766,4847.137682
noveldag,3,100,270000,3,109186.029217,2728.801796
noveldag,3,100,270000,mean,108353.6,4242.9
noveldag,0,100,200000,1,132209.990363,3093.312834
